date,company,sector,role,role_type,channel,status,contact_person,fit_rating,notes,cv_file,cover_letter_file,source
2026-06-14,Axiomatic_AI,AI lab / scientific computing,Research Software Engineer — Differentiable Scientific Computing,Research/Engineering,LinkedIn,submitted,,medium,"Submitted 2026-06-14. Inverse-problems/UQ lead; sbi=PyTorch, AutStr as side-project JAX note; EDA/photonics domain is adjacent",applications/Axiomatic_AI/2026_06_research_software_engineer/cv.pdf,applications/Axiomatic_AI/2026_06_research_software_engineer/cover_letter.pdf,LinkedIn ES
2026-06-14,Dex,Recruiting intermediary (employer unknown),Research Scientist — Model Team,Research,LinkedIn,on_hold,,medium,"ON HOLD: Dex is a sourcing/recruiting intermediary, NOT the employer. Its 'apply' flow is an AI chat funnel with no direct application path and pivots to recommending other jobs; actual hiring company unidentified. Drafted CV+cover letter kept in place; revisit only if the underlying employer surfaces. Generative-modeling + DeepL distributed-training overlap; video-to-audio modality is new",applications/Dex/2026_06_research_scientist_model_team/cv.pdf,applications/Dex/2026_06_research_scientist_model_team/cover_letter.pdf,LinkedIn DE
2026-06-14,Cint,Market research / applied AI,Senior Data Scientist (AI & Synthetic Intelligence),Applied DS,LinkedIn,submitted,,medium,"Submitted 2026-06-14. Generative AI + rigorous statistics; whole-career delivery story; Barcelona plus; SQL framed honestly",applications/Cint/2026_06_senior_data_scientist/cv.pdf,applications/Cint/2026_06_senior_data_scientist/cover_letter.pdf,LinkedIn ES
2026-06-14,NVIDIA,AI lab / graphics,Applied AI Researcher — World Reconstruction and Generation,Research,LinkedIn,submitted,,low,"Submitted 2026-06-14. Weakest fit; inverse-problems/differentiable-computing bridge; honest growth-motivation framing; 3D/CV adjacent",applications/NVIDIA/2026_06_applied_ai_researcher/cv.pdf,applications/NVIDIA/2026_06_applied_ai_researcher/cover_letter.pdf,LinkedIn DE
2026-06-14,Apple,AI lab / research,AIML — Machine Learning Researcher (MLR),Research,LinkedIn,submitted,,high,"Submitted 2026-06-14. Strongest fit; generative modeling + introspection/robustness + JAX + top-venue pubs; Barcelona plus",applications/Apple/2026_06_machine_learning_researcher/cv.pdf,applications/Apple/2026_06_machine_learning_researcher/cover_letter.pdf,LinkedIn ES
2026-06-14,SAP,Enterprise / applied AI,(Senior) AI Research Engineer — Research & Innovation,Research/Engineering,LinkedIn,submitted,,high,"Submitted 2026-06-14. Research-to-product translation + evaluation lead; agentic softly acknowledged + Claude Code; Potsdam/Berlin relocation",applications/SAP/2026_06_senior_ai_research_engineer/cv.pdf,applications/SAP/2026_06_senior_ai_research_engineer/cover_letter.pdf,LinkedIn DE
2026-06-14,eBay,E-commerce / applied AI,Applied Researcher,Research,LinkedIn,submitted,,high,"Submitted 2026-06-14. Eval/training lead; RWTH Aachen alma-mater tie; feedback-driven learning bridged via probabilistic modeling",applications/eBay/2026_06_applied_researcher/cv.pdf,applications/eBay/2026_06_applied_researcher/cover_letter.pdf,LinkedIn DE
2026-06-14,Adyen,Fintech / applied AI,Senior AI Research Scientist,Research,LinkedIn,submitted,,high,"Submitted 2026-06-14. Stretch; evaluation/benchmarking lead; honest on agentic-at-scale gap; Madrid plus; office-first",applications/Adyen/2026_06_senior_ai_research_scientist/cv.pdf,applications/Adyen/2026_06_senior_ai_research_scientist/cover_letter.pdf,LinkedIn ES
2026-06-14,TomTom,Maps / applied AI,Senior Applied Scientist,Applied Science,LinkedIn,submitted,,high,"Submitted 2026-06-14. Stretch; applied-science/ownership/mentoring lead; geospatial/POI named as new domain; Madrid plus; hybrid 2 days",applications/TomTom/2026_06_senior_applied_scientist/cv.pdf,applications/TomTom/2026_06_senior_applied_scientist/cover_letter.pdf,LinkedIn ES
2026-06-14,Pipedrive,SaaS / CRM AI,Principal AI/ML Scientist & Engineer,Leadership/Engineering,LinkedIn,interview,,high,"Submitted 2026-06-14. Stretch; leadership + pragmatic delivery lead; LangGraph/RAG/vector-DB bridged + Claude Code; Berlin on-site, no visa needed. 1st HR interview scheduled 2026-06-17 (Wed)",applications/Pipedrive/2026_06_principal_ai_ml_scientist_engineer/cv.pdf,applications/Pipedrive/2026_06_principal_ai_ml_scientist_engineer/cover_letter.pdf,LinkedIn DE
